source,target,edge_type
CLM_000248,WSH_008,claim_workshop
CLM_000249,WSH_158,claim_workshop
CLM_000250,WSH_035,claim_workshop
CLM_000259,WSH_247,claim_workshop
CLM_000261,WSH_081,claim_workshop
CLM_000262,WSH_189,claim_workshop
CLM_000263,WSH_191,claim_workshop
CLM_000264,WSH_182,claim_workshop
CLM_000266,WSH_065,claim_workshop
CLM_000267,WSH_299,claim_workshop
CLM_000272,WSH_263,claim_workshop
CLM_000273,WSH_257,claim_workshop
CLM_000275,WSH_058,claim_workshop
CLM_000277,WSH_290,claim_workshop
CLM_000278,WSH_244,claim_workshop
CLM_000279,WSH_090,claim_workshop
CLM_000283,WSH_109,claim_workshop
CLM_000284,WSH_018,claim_workshop
CLM_000286,WSH_102,claim_workshop
CLM_000287,WSH_011,claim_workshop
CLM_000288,WSH_110,claim_workshop
CLM_000289,WSH_187,claim_workshop
CLM_000290,WSH_089,claim_workshop
CLM_000291,WSH_016,claim_workshop
CLM_000293,WSH_278,claim_workshop
CLM_000294,WSH_034,claim_workshop
CLM_000295,WSH_159,claim_workshop
CLM_000298,WSH_279,claim_workshop
CLM_000300,WSH_281,claim_workshop
CLM_000301,WSH_089,claim_workshop
CLM_000303,WSH_010,claim_workshop
CLM_000304,WSH_100,claim_workshop
CLM_000306,WSH_266,claim_workshop
CLM_000307,WSH_001,claim_workshop
CLM_000309,WSH_020,claim_workshop
CLM_000311,WSH_023,claim_workshop
CLM_000312,WSH_167,claim_workshop
CLM_000315,WSH_277,claim_workshop
CLM_000317,WSH_061,claim_workshop
CLM_000319,WSH_001,claim_workshop
CLM_000320,WSH_141,claim_workshop
CLM_000322,WSH_173,claim_workshop
CLM_000323,WSH_164,claim_workshop
CLM_000324,WSH_008,claim_workshop
CLM_000328,WSH_056,claim_workshop
CLM_000330,WSH_253,claim_workshop
CLM_000332,WSH_246,claim_workshop
CLM_000333,WSH_183,claim_workshop
CLM_000335,WSH_025,claim_workshop
CLM_000337,WSH_021,claim_workshop
CLM_000338,WSH_115,claim_workshop
CLM_000340,WSH_075,claim_workshop
CLM_000341,WSH_218,claim_workshop
CLM_000344,WSH_006,claim_workshop
CLM_000345,WSH_010,claim_workshop
CLM_000346,WSH_088,claim_workshop
CLM_000347,WSH_193,claim_workshop
CLM_000348,WSH_143,claim_workshop
CLM_000350,WSH_167,claim_workshop
CLM_000351,WSH_028,claim_workshop
CLM_000352,WSH_197,claim_workshop
CLM_000355,WSH_208,claim_workshop
CLM_000356,WSH_141,claim_workshop
CLM_000357,WSH_055,claim_workshop
CLM_000359,WSH_050,claim_workshop
CLM_000361,WSH_089,claim_workshop
CLM_000367,WSH_083,claim_workshop
CLM_000369,WSH_262,claim_workshop
CLM_000370,WSH_086,claim_workshop
CLM_000371,WSH_063,claim_workshop
CLM_000374,WSH_012,claim_workshop
CLM_000375,WSH_275,claim_workshop
CLM_000377,WSH_089,claim_workshop
CLM_000379,WSH_105,claim_workshop
CLM_000386,WSH_009,claim_workshop
CLM_000391,WSH_023,claim_workshop
CLM_000395,WSH_175,claim_workshop
CLM_000397,WSH_189,claim_workshop
CLM_000400,WSH_044,claim_workshop
CLM_000403,WSH_104,claim_workshop
CLM_000404,WSH_238,claim_workshop
CLM_000407,WSH_260,claim_workshop
CLM_000408,WSH_213,claim_workshop
CLM_000411,WSH_008,claim_workshop
CLM_000412,WSH_102,claim_workshop
CLM_000413,WSH_266,claim_workshop
CLM_000414,WSH_104,claim_workshop
CLM_000421,WSH_112,claim_workshop
CLM_000423,WSH_005,claim_workshop
CLM_000427,WSH_192,claim_workshop
CLM_000428,WSH_119,claim_workshop
CLM_000432,WSH_038,claim_workshop
CLM_000434,WSH_103,claim_workshop
CLM_000435,WSH_094,claim_workshop
CLM_000436,WSH_135,claim_workshop
CLM_000438,WSH_284,claim_workshop
CLM_000439,WSH_117,claim_workshop
CLM_000440,WSH_008,claim_workshop
CLM_000441,WSH_129,claim_workshop
CLM_000442,WSH_200,claim_workshop
CLM_000446,WSH_186,claim_workshop
CLM_000450,WSH_256,claim_workshop
CLM_000451,WSH_136,claim_workshop
CLM_000453,WSH_156,claim_workshop
CLM_000454,WSH_295,claim_workshop
CLM_000456,WSH_286,claim_workshop
CLM_000458,WSH_002,claim_workshop
CLM_000460,WSH_039,claim_workshop
CLM_000464,WSH_242,claim_workshop
CLM_000465,WSH_074,claim_workshop
CLM_000466,WSH_226,claim_workshop
CLM_000467,WSH_104,claim_workshop
CLM_000468,WSH_157,claim_workshop
CLM_000470,WSH_021,claim_workshop
CLM_000471,WSH_251,claim_workshop
CLM_000475,WSH_148,claim_workshop
CLM_000481,WSH_228,claim_workshop
CLM_000484,WSH_100,claim_workshop
CLM_000488,WSH_290,claim_workshop
CLM_000490,WSH_235,claim_workshop
CLM_000491,WSH_001,claim_workshop
CLM_000493,WSH_208,claim_workshop
CLM_000494,WSH_217,claim_workshop
CLM_000498,WSH_160,claim_workshop
CLM_000502,WSH_173,claim_workshop
CLM_000503,WSH_145,claim_workshop
CLM_000504,WSH_299,claim_workshop
CLM_000506,WSH_275,claim_workshop
CLM_000507,WSH_175,claim_workshop
CLM_000508,WSH_008,claim_workshop
CLM_000510,WSH_020,claim_workshop
CLM_000511,WSH_103,claim_workshop
CLM_000513,WSH_034,claim_workshop
CLM_000515,WSH_159,claim_workshop
CLM_000516,WSH_239,claim_workshop
CLM_000517,WSH_164,claim_workshop
CLM_000518,WSH_036,claim_workshop
CLM_000521,WSH_123,claim_workshop
CLM_000522,WSH_164,claim_workshop
CLM_000524,WSH_234,claim_workshop
CLM_000525,WSH_026,claim_workshop
CLM_000526,WSH_083,claim_workshop
CLM_000527,WSH_007,claim_workshop
CLM_000531,WSH_299,claim_workshop
CLM_000532,WSH_225,claim_workshop
CLM_000537,WSH_242,claim_workshop
CLM_000540,WSH_014,claim_workshop
CLM_000544,WSH_084,claim_workshop
CLM_000545,WSH_011,claim_workshop
CLM_000549,WSH_021,claim_workshop
CLM_000550,WSH_085,claim_workshop
CLM_000551,WSH_020,claim_workshop
CLM_000556,WSH_185,claim_workshop
CLM_000560,WSH_153,claim_workshop
CLM_000561,WSH_096,claim_workshop
CLM_000562,WSH_124,claim_workshop
CLM_000564,WSH_062,claim_workshop
CLM_000566,WSH_009,claim_workshop
CLM_000568,WSH_027,claim_workshop
CLM_000573,WSH_005,claim_workshop
CLM_000574,WSH_089,claim_workshop
CLM_000576,WSH_037,claim_workshop
CLM_000578,WSH_149,claim_workshop
CLM_000579,WSH_097,claim_workshop
CLM_000582,WSH_280,claim_workshop
CLM_000585,WSH_178,claim_workshop
CLM_000586,WSH_217,claim_workshop
CLM_000588,WSH_056,claim_workshop
CLM_000589,WSH_143,claim_workshop
CLM_000590,WSH_198,claim_workshop
CLM_000592,WSH_274,claim_workshop
CLM_000594,WSH_146,claim_workshop
CLM_000604,WSH_162,claim_workshop
CLM_000605,WSH_260,claim_workshop
CLM_000606,WSH_014,claim_workshop
CLM_000607,WSH_209,claim_workshop
CLM_000608,WSH_061,claim_workshop
CLM_000609,WSH_255,claim_workshop
CLM_000610,WSH_160,claim_workshop
CLM_000611,WSH_284,claim_workshop
CLM_000612,WSH_156,claim_workshop
CLM_000614,WSH_043,claim_workshop
CLM_000620,WSH_140,claim_workshop
CLM_000623,WSH_084,claim_workshop
CLM_000626,WSH_098,claim_workshop
CLM_000627,WSH_145,claim_workshop
CLM_000628,WSH_063,claim_workshop
CLM_000632,WSH_003,claim_workshop
CLM_000637,WSH_244,claim_workshop
CLM_000638,WSH_272,claim_workshop
CLM_000641,WSH_167,claim_workshop
CLM_000642,WSH_015,claim_workshop
CLM_000643,WSH_187,claim_workshop
CLM_000644,WSH_266,claim_workshop
CLM_000646,WSH_154,claim_workshop
CLM_000648,WSH_094,claim_workshop
CLM_000651,WSH_080,claim_workshop
CLM_000653,WSH_039,claim_workshop
CLM_000658,WSH_294,claim_workshop
CLM_000659,WSH_007,claim_workshop
CLM_000660,WSH_226,claim_workshop
CLM_000662,WSH_003,claim_workshop
CLM_000663,WSH_283,claim_workshop
CLM_000664,WSH_255,claim_workshop
CLM_000665,WSH_167,claim_workshop
CLM_000666,WSH_053,claim_workshop
CLM_000667,WSH_230,claim_workshop
CLM_000668,WSH_280,claim_workshop
CLM_000669,WSH_096,claim_workshop
CLM_000672,WSH_155,claim_workshop
CLM_000674,WSH_003,claim_workshop
CLM_000675,WSH_143,claim_workshop
CLM_000678,WSH_206,claim_workshop
CLM_000681,WSH_261,claim_workshop
CLM_000682,WSH_007,claim_workshop
CLM_000683,WSH_139,claim_workshop
CLM_000684,WSH_295,claim_workshop
CLM_000685,WSH_178,claim_workshop
CLM_000689,WSH_140,claim_workshop
CLM_000691,WSH_139,claim_workshop
CLM_000692,WSH_067,claim_workshop
CLM_000695,WSH_177,claim_workshop
CLM_000696,WSH_241,claim_workshop
CLM_000697,WSH_152,claim_workshop
CLM_000698,WSH_099,claim_workshop
CLM_000701,WSH_158,claim_workshop
CLM_000703,WSH_076,claim_workshop
CLM_000704,WSH_002,claim_workshop
CLM_000705,WSH_004,claim_workshop
CLM_000706,WSH_011,claim_workshop
CLM_000713,WSH_040,claim_workshop
CLM_000715,WSH_054,claim_workshop
CLM_000716,WSH_133,claim_workshop
CLM_000718,WSH_138,claim_workshop
CLM_000719,WSH_024,claim_workshop
CLM_000720,WSH_068,claim_workshop
CLM_000722,WSH_077,claim_workshop
CLM_000724,WSH_268,claim_workshop
CLM_000726,WSH_147,claim_workshop
CLM_000728,WSH_050,claim_workshop
CLM_000729,WSH_008,claim_workshop
CLM_000731,WSH_106,claim_workshop
CLM_000732,WSH_021,claim_workshop
CLM_000735,WSH_008,claim_workshop
CLM_000736,WSH_103,claim_workshop
CLM_000737,WSH_006,claim_workshop
CLM_000739,WSH_057,claim_workshop
CLM_000740,WSH_280,claim_workshop
CLM_000741,WSH_016,claim_workshop
CLM_000742,WSH_002,claim_workshop
CLM_000744,WSH_292,claim_workshop
CLM_000747,WSH_201,claim_workshop
CLM_000748,WSH_262,claim_workshop
CLM_000750,WSH_009,claim_workshop
CLM_000751,WSH_258,claim_workshop
CLM_000752,WSH_060,claim_workshop
CLM_000753,WSH_155,claim_workshop
CLM_000754,WSH_267,claim_workshop
CLM_000756,WSH_234,claim_workshop
CLM_000760,WSH_147,claim_workshop
CLM_000762,WSH_255,claim_workshop
CLM_000763,WSH_151,claim_workshop
CLM_000766,WSH_222,claim_workshop
CLM_000767,WSH_236,claim_workshop
CLM_000769,WSH_123,claim_workshop
CLM_000771,WSH_121,claim_workshop
CLM_000772,WSH_196,claim_workshop
CLM_000774,WSH_249,claim_workshop
CLM_000776,WSH_035,claim_workshop
CLM_000779,WSH_145,claim_workshop
CLM_000780,WSH_274,claim_workshop
CLM_000781,WSH_095,claim_workshop
CLM_000782,WSH_185,claim_workshop
CLM_000783,WSH_008,claim_workshop
CLM_000786,WSH_165,claim_workshop
CLM_000787,WSH_197,claim_workshop
CLM_000789,WSH_029,claim_workshop
CLM_000792,WSH_274,claim_workshop
CLM_000796,WSH_251,claim_workshop
CLM_000801,WSH_200,claim_workshop
CLM_000812,WSH_247,claim_workshop
CLM_000813,WSH_103,claim_workshop
CLM_000814,WSH_223,claim_workshop
CLM_000816,WSH_044,claim_workshop
CLM_000819,WSH_189,claim_workshop
CLM_000821,WSH_162,claim_workshop
CLM_000823,WSH_055,claim_workshop
CLM_000824,WSH_116,claim_workshop
CLM_000825,WSH_018,claim_workshop
CLM_000826,WSH_012,claim_workshop
CLM_000827,WSH_058,claim_workshop
CLM_000829,WSH_256,claim_workshop
CLM_000833,WSH_012,claim_workshop
CLM_000836,WSH_046,claim_workshop
CLM_000838,WSH_016,claim_workshop
CLM_000839,WSH_147,claim_workshop
CLM_000840,WSH_102,claim_workshop
CLM_000841,WSH_043,claim_workshop
CLM_000846,WSH_047,claim_workshop
CLM_000848,WSH_158,claim_workshop
CLM_000849,WSH_277,claim_workshop
CLM_000850,WSH_131,claim_workshop
CLM_000852,WSH_192,claim_workshop
CLM_000854,WSH_124,claim_workshop
CLM_000855,WSH_234,claim_workshop
CLM_000860,WSH_010,claim_workshop
CLM_000862,WSH_029,claim_workshop
CLM_000863,WSH_285,claim_workshop
CLM_000864,WSH_227,claim_workshop
CLM_000865,WSH_184,claim_workshop
CLM_000866,WSH_204,claim_workshop
CLM_000867,WSH_288,claim_workshop
CLM_000868,WSH_031,claim_workshop
CLM_000870,WSH_106,claim_workshop
CLM_000872,WSH_016,claim_workshop
CLM_000875,WSH_008,claim_workshop
CLM_000876,WSH_155,claim_workshop
CLM_000878,WSH_079,claim_workshop
CLM_000880,WSH_265,claim_workshop
CLM_000882,WSH_163,claim_workshop
CLM_000884,WSH_097,claim_workshop
CLM_000885,WSH_213,claim_workshop
CLM_000886,WSH_040,claim_workshop
CLM_000888,WSH_069,claim_workshop
CLM_000890,WSH_178,claim_workshop
CLM_000891,WSH_221,claim_workshop
CLM_000892,WSH_168,claim_workshop
CLM_000893,WSH_118,claim_workshop
CLM_000896,WSH_021,claim_workshop
CLM_000897,WSH_037,claim_workshop
CLM_000898,WSH_002,claim_workshop
CLM_000899,WSH_097,claim_workshop
CLM_000901,WSH_252,claim_workshop
CLM_000902,WSH_082,claim_workshop
CLM_000903,WSH_077,claim_workshop
CLM_000904,WSH_150,claim_workshop
CLM_000908,WSH_019,claim_workshop
CLM_000909,WSH_109,claim_workshop
CLM_000910,WSH_024,claim_workshop
CLM_000912,WSH_238,claim_workshop
CLM_000913,WSH_045,claim_workshop
CLM_000914,WSH_014,claim_workshop
CLM_000915,WSH_185,claim_workshop
CLM_000916,WSH_231,claim_workshop
CLM_000917,WSH_100,claim_workshop
CLM_000920,WSH_006,claim_workshop
CLM_000922,WSH_243,claim_workshop
CLM_000923,WSH_010,claim_workshop
CLM_000925,WSH_226,claim_workshop
CLM_000926,WSH_008,claim_workshop
CLM_000927,WSH_242,claim_workshop
CLM_000929,WSH_149,claim_workshop
CLM_000931,WSH_018,claim_workshop
CLM_000932,WSH_076,claim_workshop
CLM_000933,WSH_126,claim_workshop
CLM_000934,WSH_035,claim_workshop
CLM_000935,WSH_004,claim_workshop
CLM_000938,WSH_292,claim_workshop
CLM_000939,WSH_184,claim_workshop
CLM_000940,WSH_179,claim_workshop
CLM_000941,WSH_077,claim_workshop
CLM_000942,WSH_195,claim_workshop
CLM_000943,WSH_236,claim_workshop
CLM_000947,WSH_005,claim_workshop
CLM_000948,WSH_118,claim_workshop
CLM_000951,WSH_299,claim_workshop
CLM_000952,WSH_033,claim_workshop
CLM_000958,WSH_225,claim_workshop
CLM_000959,WSH_114,claim_workshop
CLM_000960,WSH_008,claim_workshop
CLM_000961,WSH_119,claim_workshop
CLM_000962,WSH_242,claim_workshop
CLM_000965,WSH_091,claim_workshop
CLM_000966,WSH_046,claim_workshop
CLM_000969,WSH_262,claim_workshop
CLM_000970,WSH_189,claim_workshop
CLM_000974,WSH_248,claim_workshop
CLM_000975,WSH_188,claim_workshop
CLM_000976,WSH_273,claim_workshop
CLM_000978,WSH_090,claim_workshop
CLM_000979,WSH_249,claim_workshop
CLM_000980,WSH_095,claim_workshop
CLM_000981,WSH_088,claim_workshop
CLM_000983,WSH_034,claim_workshop
CLM_000986,WSH_025,claim_workshop
CLM_000987,WSH_047,claim_workshop
CLM_000988,WSH_003,claim_workshop
CLM_000989,WSH_148,claim_workshop
CLM_000990,WSH_173,claim_workshop
CLM_000991,WSH_171,claim_workshop
CLM_000994,WSH_221,claim_workshop
CLM_000997,WSH_240,claim_workshop
CLM_000998,WSH_093,claim_workshop
CLM_001001,WSH_113,claim_workshop
CLM_001002,WSH_045,claim_workshop
CLM_001003,WSH_291,claim_workshop
CLM_001004,WSH_031,claim_workshop
CLM_001005,WSH_002,claim_workshop
CLM_001006,WSH_162,claim_workshop
CLM_001007,WSH_008,claim_workshop
CLM_001009,WSH_281,claim_workshop
CLM_001010,WSH_016,claim_workshop
CLM_001013,WSH_022,claim_workshop
CLM_001017,WSH_083,claim_workshop
CLM_001018,WSH_143,claim_workshop
CLM_001020,WSH_300,claim_workshop
CLM_001021,WSH_282,claim_workshop
CLM_001022,WSH_147,claim_workshop
CLM_001024,WSH_005,claim_workshop
CLM_001026,WSH_205,claim_workshop
CLM_001027,WSH_205,claim_workshop
CLM_001028,WSH_271,claim_workshop
CLM_001029,WSH_204,claim_workshop
CLM_001031,WSH_137,claim_workshop
CLM_001032,WSH_037,claim_workshop
CLM_001033,WSH_175,claim_workshop
CLM_001034,WSH_006,claim_workshop
CLM_001036,WSH_131,claim_workshop
CLM_001039,WSH_283,claim_workshop
CLM_001040,WSH_009,claim_workshop
CLM_001042,WSH_134,claim_workshop
CLM_001044,WSH_179,claim_workshop
CLM_001045,WSH_231,claim_workshop
CLM_001046,WSH_300,claim_workshop
CLM_001047,WSH_022,claim_workshop
CLM_001050,WSH_134,claim_workshop
CLM_001051,WSH_034,claim_workshop
CLM_001053,WSH_078,claim_workshop
CLM_001057,WSH_207,claim_workshop
CLM_001058,WSH_083,claim_workshop
CLM_001062,WSH_046,claim_workshop
CLM_001063,WSH_029,claim_workshop
CLM_001066,WSH_003,claim_workshop
CLM_001069,WSH_217,claim_workshop
CLM_001070,WSH_053,claim_workshop
CLM_001071,WSH_281,claim_workshop
CLM_001072,WSH_286,claim_workshop
CLM_001074,WSH_052,claim_workshop
CLM_001075,WSH_149,claim_workshop
CLM_001078,WSH_299,claim_workshop
CLM_001079,WSH_014,claim_workshop
CLM_001080,WSH_170,claim_workshop
CLM_001082,WSH_084,claim_workshop
CLM_001083,WSH_088,claim_workshop
CLM_001084,WSH_245,claim_workshop
CLM_001086,WSH_067,claim_workshop
CLM_001088,WSH_088,claim_workshop
CLM_001092,WSH_291,claim_workshop
CLM_001095,WSH_115,claim_workshop
CLM_001099,WSH_018,claim_workshop
CLM_001102,WSH_020,claim_workshop
CLM_001104,WSH_073,claim_workshop
CLM_001109,WSH_155,claim_workshop
CLM_001110,WSH_260,claim_workshop
CLM_001112,WSH_102,claim_workshop
CLM_001115,WSH_081,claim_workshop
CLM_001116,WSH_196,claim_workshop
CLM_001117,WSH_101,claim_workshop
CLM_001118,WSH_211,claim_workshop
CLM_001119,WSH_148,claim_workshop
CLM_001120,WSH_011,claim_workshop
CLM_001121,WSH_197,claim_workshop
CLM_001124,WSH_224,claim_workshop
CLM_001125,WSH_250,claim_workshop
CLM_001128,WSH_290,claim_workshop
CLM_001130,WSH_276,claim_workshop
CLM_001132,WSH_079,claim_workshop
CLM_001133,WSH_282,claim_workshop
CLM_001135,WSH_297,claim_workshop
CLM_001137,WSH_090,claim_workshop
CLM_001138,WSH_269,claim_workshop
CLM_001139,WSH_095,claim_workshop
CLM_001142,WSH_012,claim_workshop
CLM_001145,WSH_192,claim_workshop
CLM_001146,WSH_107,claim_workshop
CLM_001147,WSH_077,claim_workshop
CLM_001148,WSH_222,claim_workshop
CLM_001153,WSH_200,claim_workshop
CLM_001154,WSH_062,claim_workshop
CLM_001155,WSH_045,claim_workshop
CLM_001156,WSH_005,claim_workshop
CLM_001163,WSH_122,claim_workshop
CLM_001166,WSH_002,claim_workshop
CLM_001167,WSH_187,claim_workshop
CLM_001171,WSH_037,claim_workshop
CLM_001172,WSH_095,claim_workshop
CLM_001174,WSH_291,claim_workshop
CLM_001175,WSH_014,claim_workshop
CLM_001176,WSH_185,claim_workshop
CLM_001179,WSH_054,claim_workshop
CLM_001184,WSH_120,claim_workshop
CLM_001189,WSH_211,claim_workshop
CLM_001191,WSH_298,claim_workshop
CLM_001194,WSH_010,claim_workshop
CLM_001195,WSH_296,claim_workshop
CLM_001196,WSH_299,claim_workshop
CLM_001201,WSH_241,claim_workshop
CLM_001207,WSH_166,claim_workshop
CLM_001208,WSH_277,claim_workshop
CLM_001209,WSH_001,claim_workshop
CLM_001210,WSH_091,claim_workshop
CLM_001211,WSH_088,claim_workshop
CLM_001212,WSH_174,claim_workshop
CLM_001213,WSH_069,claim_workshop
CLM_001214,WSH_098,claim_workshop
CLM_001215,WSH_048,claim_workshop
CLM_001218,WSH_151,claim_workshop
CLM_001220,WSH_023,claim_workshop
CLM_001222,WSH_284,claim_workshop
CLM_001223,WSH_176,claim_workshop
CLM_001225,WSH_020,claim_workshop
CLM_001236,WSH_267,claim_workshop
CLM_001240,WSH_284,claim_workshop
CLM_001241,WSH_160,claim_workshop
CLM_001242,WSH_295,claim_workshop
CLM_001244,WSH_113,claim_workshop
CLM_001248,WSH_260,claim_workshop
CLM_001253,WSH_071,claim_workshop
CLM_001256,WSH_266,claim_workshop
CLM_001258,WSH_161,claim_workshop
CLM_001259,WSH_204,claim_workshop
CLM_001260,WSH_152,claim_workshop
CLM_001267,WSH_161,claim_workshop
CLM_001270,WSH_112,claim_workshop
CLM_001271,WSH_059,claim_workshop
CLM_001272,WSH_027,claim_workshop
CLM_001274,WSH_137,claim_workshop
CLM_001276,WSH_070,claim_workshop
CLM_001278,WSH_129,claim_workshop
CLM_001280,WSH_118,claim_workshop
CLM_001281,WSH_147,claim_workshop
CLM_001284,WSH_177,claim_workshop
CLM_001285,WSH_038,claim_workshop
CLM_001287,WSH_261,claim_workshop
CLM_001288,WSH_007,claim_workshop
CLM_001290,WSH_001,claim_workshop
CLM_001291,WSH_267,claim_workshop
CLM_001293,WSH_101,claim_workshop
CLM_001295,WSH_041,claim_workshop
CLM_001297,WSH_262,claim_workshop
CLM_001298,WSH_267,claim_workshop
CLM_001299,WSH_207,claim_workshop
CLM_001300,WSH_269,claim_workshop
CLM_001302,WSH_249,claim_workshop
CLM_001305,WSH_075,claim_workshop
CLM_001306,WSH_022,claim_workshop
CLM_001309,WSH_251,claim_workshop
CLM_001313,WSH_262,claim_workshop
CLM_001315,WSH_176,claim_workshop
CLM_001318,WSH_047,claim_workshop
CLM_001319,WSH_255,claim_workshop
CLM_001321,WSH_007,claim_workshop
CLM_001322,WSH_160,claim_workshop
CLM_001323,WSH_274,claim_workshop
CLM_001324,WSH_196,claim_workshop
CLM_001326,WSH_191,claim_workshop
CLM_001327,WSH_246,claim_workshop
CLM_001329,WSH_093,claim_workshop
CLM_001334,WSH_051,claim_workshop
CLM_001338,WSH_130,claim_workshop
CLM_001340,WSH_292,claim_workshop
CLM_001343,WSH_150,claim_workshop
CLM_001344,WSH_004,claim_workshop
CLM_001346,WSH_029,claim_workshop
CLM_001347,WSH_119,claim_workshop
CLM_001349,WSH_135,claim_workshop
CLM_001351,WSH_245,claim_workshop
CLM_001352,WSH_257,claim_workshop
CLM_001354,WSH_252,claim_workshop
CLM_001355,WSH_038,claim_workshop
CLM_001356,WSH_042,claim_workshop
CLM_001357,WSH_257,claim_workshop
CLM_001363,WSH_234,claim_workshop
CLM_001364,WSH_288,claim_workshop
CLM_001366,WSH_179,claim_workshop
CLM_001367,WSH_004,claim_workshop
CLM_001368,WSH_145,claim_workshop
CLM_001369,WSH_162,claim_workshop
